skill,count,source,reason,suggested_canonical
9月開始予定,1,案件,OOVレポート101位以降,
貴社所属まで,1,案件,OOVレポート101位以降,
個人事業主不可,1,案件,OOVレポート101位以降,
英語会話,1,案件,OOVレポート101位以降,
スキル見合い,1,案件,OOVレポート101位以降,
icmp,1,案件,OOVレポート101位以降,
IT知識,1,案件,OOVレポート101位以降,
表計算,1,案件,OOVレポート101位以降,
ツール作成,1,案件,OOVレポート101位以降,
即日参画可能,1,案件,OOVレポート101位以降,
改善・提案,1,案件,OOVレポート101位以降,
柔軟性,1,案件,OOVレポート101位以降,
チャレンジ精神,1,案件,OOVレポート101位以降,
ユーザー視点,1,案件,OOVレポート101位以降,
チーム連携,1,案件,OOVレポート101位以降,
環境適応,1,案件,OOVレポート101位以降,
ライセンス管理,1,案件,OOVレポート101位以降,
Snowpipeや外部ステージを用いたデータ取り込み自動化の経験,1,案件,OOVレポート101位以降,
ソフトウェア,1,案件,OOVレポート101位以降,
広告代理店でのジュニアレイヤー以上のご活躍実績,1,案件,OOVレポート101位以降,
医療・人材・金融など特定業界における深いマーケティング知見,1,案件,OOVレポート101位以降,
新規事業やサービスの立ち上げ経験,1,案件,OOVレポート101位以降,
Adobe XD,1,案件,OOVレポート101位以降,
金融業界案件の参画経験,1,案件,OOVレポート101位以降,
コミュニケーションが円滑に取れる方,1,案件,OOVレポート101位以降,
長期で対応可能な方,1,案件,OOVレポート101位以降,
面談上位1回,1,案件,OOVレポート101位以降,
移行経験,1,案件,OOVレポート101位以降,
移行計画,1,案件,OOVレポート101位以降,
経理領域,1,案件,OOVレポート101位以降,
現行システム更改案件経験,1,案件,OOVレポート101位以降,
システム構成把握,1,案件,OOVレポート101位以降,
システム間依存関係整理,1,案件,OOVレポート101位以降,
商品分割・システム分割影響範囲整理,1,案件,OOVレポート101位以降,
調査結果・検討課題ドキュメント化,1,案件,OOVレポート101位以降,
積極的な人,1,案件,OOVレポート101位以降,
保全技師技能士レベルの資格,1,案件,OOVレポート101位以降,
ホイストクレーン操作教育,1,案件,OOVレポート101位以降,
玉掛け,1,案件,OOVレポート101位以降,
元気で明るい人柄,1,案件,OOVレポート101位以降,
契約管理システムの知識,1,案件,OOVレポート101位以降,
コール経験,1,案件,OOVレポート101位以降,
デスクワーク経験,1,案件,OOVレポート101位以降,
人物評価が高い,1,案件,OOVレポート101位以降,
BGP,1,案件,OOVレポート101位以降,
大規模サービス開発,1,案件,OOVレポート101位以降,
開発の業務経験,1,案件,OOVレポート101位以降,
VERINT,1,案件,OOVレポート101位以降,
Amazon Connect,1,案件,OOVレポート101位以降,
PKSHA,1,案件,OOVレポート101位以降,
AmiVoice,1,案件,OOVレポート101位以降,
柔軟な対応,1,案件,OOVレポート101位以降,
CrystalReport,1,案件,OOVレポート101位以降,
金融系システムへの知識,1,案件,OOVレポート101位以降,
コミュニケーションに問題がないこと,1,案件,OOVレポート101位以降,
情報システム部門マネジメント経験,1,案件,OOVレポート101位以降,
ゼロトラスト製品の全社展開経験,1,案件,OOVレポート101位以降,
自走できるスタンス,1,案件,OOVレポート101位以降,
変化や不確実性を楽しむ,1,案件,OOVレポート101位以降,
マイクロサービスアーキテクチャ,1,案件,OOVレポート101位以降,
チームでの開発・レビュー,1,案件,OOVレポート101位以降,
長期的な保守性,1,案件,OOVレポート101位以降,
モデル開発,1,案件,OOVレポート101位以降,
実運用,1,案件,OOVレポート101位以降,
技術的な論点整理,1,案件,OOVレポート101位以降,
実現方式の検討,1,案件,OOVレポート101位以降,
保守性,1,案件,OOVレポート101位以降,
モデルのバージョン管理,1,案件,OOVレポート101位以降,
評価結果の管理,1,案件,OOVレポート101位以降,
リリース判断,1,案件,OOVレポート101位以降,
モデル更新,1,案件,OOVレポート101位以降,
切り戻し,1,案件,OOVレポート101位以降,
性能改善,1,案件,OOVレポート101位以降,
コスト最適化,1,案件,OOVレポート101位以降,
ハードウェア量産タスク経験,1,案件,OOVレポート101位以降,
自作PCやハードウェア機器の自作経験,1,案件,OOVレポート101位以降,
電気回路知識,1,案件,OOVレポート101位以降,
CLUSTERPRO,1,案件,OOVレポート101位以降,
SystemManager,1,案件,OOVレポート101位以降,
コンサルティングファーム経験,1,案件,OOVレポート101位以降,
組織立ち上げ,1,案件,OOVレポート101位以降,
プロセス改善,1,案件,OOVレポート101位以降,
NTTデータ、または富士通のプロジェクトへの参画実績,1,案件,OOVレポート101位以降,
金融機関におけるミッションクリティカルなシステム開発での品質管理経験,1,案件,OOVレポート101位以降,
ロジカルなレポート作成,1,案件,OOVレポート101位以降,
プロジェクトマネジメント,1,案件,OOVレポート101位以降,
Microsoft Entra Connect,1,案件,OOVレポート101位以降,
Microsoft Configuration Manager,1,案件,OOVレポート101位以降,
人事給与業務の知識,1,案件,OOVレポート101位以降,
他のパッケージシステムの経験,1,案件,OOVレポート101位以降,
問い合わせ対応経験,1,案件,OOVレポート101位以降,
IPCOM,1,案件,OOVレポート101位以降,
建設業の引合~受注プロセス,1,案件,OOVレポート101位以降,
受注前後の社内承認,1,案件,OOVレポート101位以降,
工事原価管理,1,案件,OOVレポート101位以降,
調達系業務理解,1,案件,OOVレポート101位以降,
IM-LogicDesigner,1,案件,OOVレポート101位以降,
GAS経験,1,案件,OOVレポート101位以降,
大規模拠点展開（マルチサイト、全国展開）の対応経験,1,案件,OOVレポート101位以降,
ドキュメント作成経験,1,案件,OOVレポート101位以降,
勤怠が安定しており、常駐が問題ないこと,1,案件,OOVレポート101位以降,
清潔感があり、身だしなみに気を使える,1,案件,OOVレポート101位以降,
big-ipを保守等で使った経験,1,案件,OOVレポート101位以降,
CO,1,案件,OOVレポート101位以降,
SD,1,案件,OOVレポート101位以降,
MM,1,案件,OOVレポート101位以降,
コミュ力◎,1,案件,OOVレポート101位以降,
アジャイル開発環境,1,案件,OOVレポート101位以降,
面談1回で即決可能,1,案件,OOVレポート101位以降,
若手可能,1,案件,OOVレポート101位以降,
スクラム開発,1,案件,OOVレポート101位以降,
ITコンサル,1,案件,OOVレポート101位以降,
業務改善支援,1,案件,OOVレポート101位以降,
事業企画,1,案件,OOVレポート101位以降,
半導体,1,案件,OOVレポート101位以降,
webアプリ,1,案件,OOVレポート101位以降,
IT事務,1,案件,OOVレポート101位以降,
現場運用,1,案件,OOVレポート101位以降,
生保システム開発,1,案件,OOVレポート101位以降,
生保知識,1,案件,OOVレポート101位以降,
社内NW,1,案件,OOVレポート101位以降,
情シス運用,1,案件,OOVレポート101位以降,
Wi-Fi,1,案件,OOVレポート101位以降,
GAS,1,案件,OOVレポート101位以降,
GWS,1,案件,OOVレポート101位以降,
GAM,1,案件,OOVレポート101位以降,
テナント統合,1,案件,OOVレポート101位以降,
WinForms,1,案件,OOVレポート101位以降,
WinUI,1,案件,OOVレポート101位以降,
金融系システム,1,案件,OOVレポート101位以降,
Cloud Delivery,1,案件,OOVレポート101位以降,
金融系ミドルウェア置き換え,1,案件,OOVレポート101位以降,
バージョンアップ対応,1,案件,OOVレポート101位以降,
Svelte,1,案件,OOVレポート101位以降,
Dify,1,案件,OOVレポート101位以降,
Ollama,1,案件,OOVレポート101位以降,
仙台市在住者対象,1,案件,OOVレポート101位以降,
アダルトに抵抗のない方,1,案件,OOVレポート101位以降,
リスティング,1,案件,OOVレポート101位以降,
ASA,1,案件,OOVレポート101位以降,
アプリ移行経験,1,案件,OOVレポート101位以降,
システムへの知見,1,案件,OOVレポート101位以降,
何らかのit案件の参画経験,1,案件,OOVレポート101位以降,
商用局でのインテグレーション経験,1,案件,OOVレポート101位以降,
1Call（Attach～VoLTE Call～Detach）シーケンス知識,1,案件,OOVレポート101位以降,
VoLTE関連知識,1,案件,OOVレポート101位以降,
体調面に問題のない方,1,案件,OOVレポート101位以降,
一人称で主体的に対応できる方,1,案件,OOVレポート101位以降,
証券取引システム,1,案件,OOVレポート101位以降,
オープン系言語,1,案件,OOVレポート101位以降,
メンバー,1,案件,OOVレポート101位以降,
報・連・相,1,案件,OOVレポート101位以降,
男性限定,1,案件,OOVレポート101位以降,
判断・相談能力,1,案件,OOVレポート101位以降,
明るい性格,1,案件,OOVレポート101位以降,
公共系,1,案件,OOVレポート101位以降,
マニュアル作成支援,1,案件,OOVレポート101位以降,
製造業基幹システム移行,1,案件,OOVレポート101位以降,
Microsoft,1,案件,OOVレポート101位以降,
通信キャリア,1,案件,OOVレポート101位以降,
DDD,1,案件,OOVレポート101位以降,
クリーンアーキテクチャ,1,案件,OOVレポート101位以降,
リードポジション,1,案件,OOVレポート101位以降,
Teamsを中心としたミーティング運営,1,案件,OOVレポート101位以降,
関係者との折衝・合意形成支援,1,案件,OOVレポート101位以降,
進捗,1,案件,OOVレポート101位以降,
課題管理ドキュメント作成・更新,1,案件,OOVレポート101位以降,
プロジェクト全体を俯瞰した課題対応,1,案件,OOVレポート101位以降,
資料作成能力,1,案件,OOVレポート101位以降,
対人対応力,1,案件,OOVレポート101位以降,
要件を取りまとめ,1,案件,OOVレポート101位以降,
Fixさせた経験,1,案件,OOVレポート101位以降,
PoC経験,1,案件,OOVレポート101位以降,
フットワーク軽く動ける方,1,案件,OOVレポート101位以降,
会計知識,1,案件,OOVレポート101位以降,
柔軟に対応できる方,1,案件,OOVレポート101位以降,
CCNA,1,案件,OOVレポート101位以降,
電子決済サービス向けアプリ開発,1,案件,OOVレポート101位以降,
MS-900,1,案件,OOVレポート101位以降,
M365販売支援,1,案件,OOVレポート101位以降,
経験者,1,案件,OOVレポート101位以降,
Terasoluna,1,案件,OOVレポート101位以降,
Spark,1,案件,OOVレポート101位以降,
Aras,1,案件,OOVレポート101位以降,
カスタマイズ,1,案件,OOVレポート101位以降,
移行プロジェクト,1,案件,OOVレポート101位以降,
プレイングマネージャー,1,案件,OOVレポート101位以降,
チームマネジメント,1,案件,OOVレポート101位以降,
Webフロントエンド,1,案件,OOVレポート101位以降,
工事会社や関係者との折衝経験,1,案件,OOVレポート101位以降,
土日祝を含む24時間365日シフト対応,1,案件,OOVレポート101位以降,
LAN,1,案件,OOVレポート101位以降,
光回線工事の知見,1,案件,OOVレポート101位以降,
実装の実務経験,1,案件,OOVレポート101位以降,
HAモニタ経験,1,案件,OOVレポート101位以降,
大規模基盤更改案件経験,1,案件,OOVレポート101位以降,
レビュー,1,案件,OOVレポート101位以降,
オフショア開発管理,1,案件,OOVレポート101位以降,
製造業向け基幹システムの改修,1,案件,OOVレポート101位以降,
中級者向け,1,案件,OOVレポート101位以降,
NW機器複数製品,1,案件,OOVレポート101位以降,
上級者,1,案件,OOVレポート101位以降,
マネジメント経験,1,案件,OOVレポート101位以降,
端末キッティング経験,1,案件,OOVレポート101位以降,
キッティング経験必須,1,案件,OOVレポート101位以降,
RedShift,1,案件,OOVレポート101位以降,
生命保険の業務知識,1,案件,OOVレポート101位以降,
リーダーやサブリーダー経験,1,案件,OOVレポート101位以降,
コミュニケーション面問題ない方,1,案件,OOVレポート101位以降,
待ちの姿勢ではなく能動的に作業が出来る方,1,案件,OOVレポート101位以降,
トランスフォームの実務経験,1,案件,OOVレポート101位以降,
3年以上,1,案件,OOVレポート101位以降,
ssmsのスキルが活かせる案件。常駐可能な方。,1,案件,OOVレポート101位以降,
。現場評価,1,案件,OOVレポート101位以降,
SOX監査,1,案件,OOVレポート101位以降,
データガバナンスの策定経験,1,案件,OOVレポート101位以降,
システムや運用基盤への実装経験,1,案件,OOVレポート101位以降,
応用機能領域の理解,1,案件,OOVレポート101位以降,
メタデータ管理,1,案件,OOVレポート101位以降,
データ品質管理の実装経験,1,案件,OOVレポート101位以降,
Microsoft Purviewを活用したガバナンス実装経験,1,案件,OOVレポート101位以降,
Policy as Code等を活用したガバナンス自動化経験,1,案件,OOVレポート101位以降,
アクセス制御やデータリネージ管理の知見,1,案件,OOVレポート101位以降,
データマネジメント関連プロジェクト参画経験,1,案件,OOVレポート101位以降,
ドキュメント作成だけでなく実装まで主体的に対応できる方,1,案件,OOVレポート101位以降,
ガバナンスとシステムの両面から課題を考えられる方,1,案件,OOVレポート101位以降,
品質や統制を意識しながら改善提案ができる方,1,案件,OOVレポート101位以降,
オントロジー基盤,1,案件,OOVレポート101位以降,
統合ポータル,1,案件,OOVレポート101位以降,
システム実装経験,1,案件,OOVレポート101位以降,
テックリード連携,1,案件,OOVレポート101位以降,
セマンティックレイヤー,1,案件,OOVレポート101位以降,
技術的な課題解決,1,案件,OOVレポート101位以降,
高品質実装,1,案件,OOVレポート101位以降,
主体的開発,1,案件,OOVレポート101位以降,
新技術チャレンジ,1,案件,OOVレポート101位以降,
セマンティック検索の実装経験,1,案件,OOVレポート101位以降,
チームとの連携,1,案件,OOVレポート101位以降,
の項目に対して,1,案件,OOVレポート101位以降,
新しいサービスに対して意欲的に取り組める,1,案件,OOVレポート101位以降,
推進支援,1,案件,OOVレポート101位以降,
ストアド,1,案件,OOVレポート101位以降,
オペレーション,1,案件,OOVレポート101位以降,
6月中旬~@芝公園 週2,1,案件,OOVレポート101位以降,
outsystems,1,案件,OOVレポート101位以降,
~120万!,1,案件,OOVレポート101位以降,
です!,1,案件,OOVレポート101位以降,
Qt Widgets,1,案件,OOVレポート101位以降,
仙台市在住,1,案件,OOVレポート101位以降,
トリリンガル,1,案件,OOVレポート101位以降,
面談設定済み,1,案件,OOVレポート101位以降,
人柄,1,案件,OOVレポート101位以降,
経験10年以上,1,案件,OOVレポート101位以降,
リーダー対応,1,案件,OOVレポート101位以降,
PaaS,1,案件,OOVレポート101位以降,
AKS,1,案件,OOVレポート101位以降,
AppGW,1,案件,OOVレポート101位以降,
LB,1,案件,OOVレポート101位以降,
ER,1,案件,OOVレポート101位以降,
ER-GW,1,案件,OOVレポート101位以降,
PE,1,案件,OOVレポート101位以降,
運用周りは,1,案件,OOVレポート101位以降,
ACR,1,案件,OOVレポート101位以降,
Cアプリ,1,案件,OOVレポート101位以降,
CORBA通信,1,案件,OOVレポート101位以降,
BIG-IP,1,案件,OOVレポート101位以降,
SSL,1,案件,OOVレポート101位以降,
いたします。,1,案件,OOVレポート101位以降,
alteryx,1,案件,OOVレポート101位以降,
に〇×をつけていただけますと幸いです。,1,案件,OOVレポート101位以降,
につきまして,1,案件,OOVレポート101位以降,
に〇×△で回答と,1,案件,OOVレポート101位以降,
横断的な,1,案件,OOVレポート101位以降,
フルスタック対応,1,案件,OOVレポート101位以降,
Outsystems,1,案件,OOVレポート101位以降,
実装支援,1,案件,OOVレポート101位以降,
上流から一気通貫,1,案件,OOVレポート101位以降,
M365のサポート経験,1,案件,OOVレポート101位以降,
情シス経験,1,案件,OOVレポート101位以降,
LAN経験者,1,案件,OOVレポート101位以降,
ロースキル,1,案件,OOVレポート101位以降,
基盤系の運用管理業務,1,案件,OOVレポート101位以降,
業務改善経験,1,案件,OOVレポート101位以降,
比較的単純で機械的な作業が多くなるため、このような業務にでも積極的に取り組める方,1,案件,OOVレポート101位以降,
3年以上の経験者,1,案件,OOVレポート101位以降,
フロント開発,1,案件,OOVレポート101位以降,
積極的に業務へ取り組める方,1,案件,OOVレポート101位以降,
SDK連携,1,案件,OOVレポート101位以降,
Cloud Run,1,案件,OOVレポート101位以降,
Dataflow,1,案件,OOVレポート101位以降,
Datastore,1,案件,OOVレポート101位以降,
男性対象,1,案件,OOVレポート101位以降,
即日開始,1,案件,OOVレポート101位以降,
リーダー枠,1,案件,OOVレポート101位以降,
アプリ移行経験者,1,案件,OOVレポート101位以降,
6月,1,案件,OOVレポート101位以降,
お取引先様各位,1,案件,OOVレポート101位以降,
組込製品の検証経験,1,案件,OOVレポート101位以降,
虎ノ門,1,案件,OOVレポート101位以降,
どの項目にフィットしているか,1,案件,OOVレポート101位以降,
ピボットテーブル,1,案件,OOVレポート101位以降,
ミャンマー,1,案件,OOVレポート101位以降,
企画,1,案件,OOVレポート101位以降,
大森駅,1,案件,OOVレポート101位以降,
VPN,1,案件,OOVレポート101位以降,
検証,1,案件,OOVレポート101位以降,
検証経験,1,案件,OOVレポート101位以降,
PowerApps,1,案件,OOVレポート101位以降,
モデル駆動型アプリ,1,案件,OOVレポート101位以降,
YAMAHA,1,案件,OOVレポート101位以降,
csh,1,案件,OOVレポート101位以降,
向ヶ丘遊園駅,1,案件,OOVレポート101位以降,
Sansan,1,案件,OOVレポート101位以降,
RemoteCall Agent,1,案件,OOVレポート101位以降,
CLOMO MDM,1,案件,OOVレポート101位以降,
CLOMO PANEL,1,案件,OOVレポート101位以降,
館林駅,1,案件,OOVレポート101位以降,
WMS(物流系システム)経験,1,案件,OOVレポート101位以降,
wms経験,1,案件,OOVレポート101位以降,
MDM,1,案件,OOVレポート101位以降,
Web画面開発,1,案件,OOVレポート101位以降,
案件管理補佐経験1年以上,1,案件,OOVレポート101位以降,
組込み開発,1,案件,OOVレポート101位以降,
vi,1,案件,OOVレポート101位以降,
eucツール,1,案件,OOVレポート101位以降,
Web管理ツール操作経験,1,案件,OOVレポート101位以降,
操作経験,1,案件,OOVレポート101位以降,
マネジメント,1,案件,OOVレポート101位以降,
pmo経験あり,1,案件,OOVレポート101位以降,
カメラパラメータ,1,案件,OOVレポート101位以降,
大門,1,案件,OOVレポート101位以降,
浜松町,1,案件,OOVレポート101位以降,
芝公園,1,案件,OOVレポート101位以降,
cad開発,1,案件,OOVレポート101位以降,
サポート実務経験,1,案件,OOVレポート101位以降,
FortiAnalyzer操作,1,案件,OOVレポート101位以降,
経理会計業務知識,1,案件,OOVレポート101位以降,
固定資産管理業務知識,1,案件,OOVレポート101位以降,
報連相,1,案件,OOVレポート101位以降,
勤怠管理,1,案件,OOVレポート101位以降,
オブジェクト指向言語,1,案件,OOVレポート101位以降,
オンプレ環境での実機操作経験,1,案件,OOVレポート101位以降,
IBMホスト,1,案件,OOVレポート101位以降,
CICS,1,案件,OOVレポート101位以降,
bmsマップの知見,1,案件,OOVレポート101位以降,
ibmホスト環境でのオンライン保守,1,案件,OOVレポート101位以降,
バージョンアップ,1,案件,OOVレポート101位以降,
フルスタック,1,案件,OOVレポート101位以降,
