skill,count,source
プロダクトオーナー経験,1,案件
スクラム方式,1,案件
コンサルタント,1,案件
リリース,1,案件
調査分析作業経験,1,案件
商流,1,案件
ルネサス製マイコン,1,案件
英語での読み書きが可能,1,案件
製薬業界案件への参画経験,1,案件
英語での日常会話が可能な方,1,案件
全共連のシステムに詳しいまたは全共連の案件参画実績がある方,1,案件
生命保険業界知識,1,案件
Honoの知見,1,案件
Prismaの知見,1,案件
ITサポート経験 2年以上,1,案件
PCトラブル対応経験,1,案件
クラシックASP,1,案件
軽微な改修,1,案件
長期,1,案件
保守作業,1,案件
開発作業,1,案件
JSF,1,案件
PrimeFaces,1,案件
光回線設置業務,1,案件
長期継続可能な方を希望,1,案件
基地局経験者,1,案件
事務経験者,1,案件
クライアント向け要件整理の経験,1,案件
オフショア管理経験,1,案件
フルスタック開発,1,案件
運用自動化,1,案件
英語対応,1,案件
jquery,1,案件
Qtest,1,案件
TeamViewer,1,案件
Rufus,1,案件
Teraterm,1,案件
AD設定,1,案件
Notes,1,案件
整理能力,1,案件
健康保険組合や国民健康保険など社会保険に関する業務知識,1,案件
社会保険に関する業務知識,1,案件
高額医療費制度,1,案件
医療費控除,1,案件
configの読み書きが出来る方,1,案件
能動的に動け,1,案件
気配りができ、些細な事でも気付ける方,1,案件
気配り,1,案件
能動的に動ける,1,案件
ITIL資格,1,案件
向上心,1,案件
能動的に動ける方,1,案件
クレジットカード業務の知見,1,案件
システム移行経験者,1,案件
指示を待たずに自主的に動ける,1,案件
401K,1,案件
Mapper,1,案件
JDE,1,案件
債権債務(AR/AP)モジュール導入経験,1,案件
建設業務知見,1,案件
ERPパッケージ(会計領域)導入経験,1,案件
文書作成,1,案件
検査,1,案件
コミュ力,1,案件
uCosminexus,1,案件
IM,1,案件
OpenTP1,1,案件
レビューがある,1,案件
お話上手い,1,案件
有線/無線LAN,1,案件
ルータ/スイッチ設定,1,案件
構成資料作成,1,案件
LAN経験,1,案件
PC問合せ対応,1,案件
医療系PJ経験,1,案件
Web広告運用,1,案件
副業,1,案件
業務改善,1,案件
DX推進,1,案件
社員代替,1,案件
生保業界,1,案件
元請け直案件,1,案件
脆弱性修正,1,案件
24時間365日対応,1,案件
特殊勤務,1,案件
クレジットカード,1,案件
リーダー層,1,案件
行動力,1,案件
OutSystems,1,案件
複数募集,1,案件
運輸・航空業界のシステム,1,案件
LangGraph,1,案件
Webクローラー,1,案件
LangSmith Studio,1,案件
日本語テキスト処理,1,案件
レビュー業務,1,案件
上流経験,1,案件
mattermost,1,案件
timeleaf,1,案件
短期の経歴が続いていない方,1,案件
IT経歴3年以上,1,案件
英会話得意,1,案件
外国語,1,案件
WebPerformer,1,案件
コミュニケーションを積極的に取れる方,1,案件
課題や不明点をすぐにエスカレーションできる方,1,案件
マイグレーション,1,案件
Automation360,1,案件
PowerAutomate for Desktop,1,案件
batファイル,1,案件
体調,1,案件
IT業界経験5年以上,1,案件
自走できる方,1,案件
コミュニケーションが得意な方,1,案件
開発ディレクター,1,案件
コンサル,1,案件
分析,1,案件
保守開発支援,1,案件
IM-LogicDesinger,1,案件
VM,1,案件
MW,1,案件
夜勤シフトOK,1,案件
顧客社内システムの保守開発,1,案件
ELT,1,案件
アジャイル開発のPO,1,案件
CWS,1,案件
1人称で作業できる方,1,案件
自ら仮説を立てて社内外で提案活動ができること,1,案件
エンタープライズ企業への提案、折衝経験,1,案件
要求分析,1,案件
制御系の経験,1,案件
体調に問題ない方,1,案件
ブランクなど間が空いていない方,1,案件
複数名稼働実績あり,1,案件
ディスプレイ広告,1,案件
VPC,1,案件
ECS,1,案件
オブザーバビリティ,1,案件
ナレッジ作成,1,案件
問題解決力,1,案件
推進力,1,案件
豊富な経験,1,案件
コントロールできる範囲,1,案件
問い合わせに対して主体的に調査、回答まで対応できる方,1,案件
Webアプリ開発5年以上の経験,1,案件
リリース作業経験,1,案件
手順書・チェックリスト遵守,1,案件
エスカレーション,1,案件
積極的な行動,1,案件
μITRON,1,案件
QNX,1,案件
Subversion,1,案件
Tera Term,1,案件
Okta,1,案件
TERASOLUNA,1,案件
宇宙,1,案件
適応力,1,案件
自己解決能力,1,案件
システム開発プロジェクトにおける管理経験,1,案件
移行（切替）対応経験,1,案件
マイグレーションプロジェクト参画経験,1,案件
主体的に課題抽出および推進,1,案件
プロジェクト全体を俯瞰して業務を進められる,1,案件
障害調査,1,案件
影響調査,1,案件
改修,1,案件
負荷が高まっている状況,1,案件
付与機能の追加,1,案件
バックアップ,1,案件
印字機能の改修,1,案件
画面の改修,1,案件
IBMなどのテクニカルDoc,1,案件
リーダーの補佐,1,案件
言語不問,1,案件
関連業界（流通・小売など）のドメイン知識,1,案件
若手募集,1,案件
9月開始予定,1,案件
貴社所属まで,1,案件
個人事業主不可,1,案件
英語会話,1,案件
スキル見合い,1,案件
icmp,1,案件
IT知識,1,案件
表計算,1,案件
ツール作成,1,案件
即日参画可能,1,案件
改善・提案,1,案件
柔軟性,1,案件
チャレンジ精神,1,案件
ユーザー視点,1,案件
チーム連携,1,案件
環境適応,1,案件
ライセンス管理,1,案件
Snowpipeや外部ステージを用いたデータ取り込み自動化の経験,1,案件
ソフトウェア,1,案件
広告代理店でのジュニアレイヤー以上のご活躍実績,1,案件
医療・人材・金融など特定業界における深いマーケティング知見,1,案件
新規事業やサービスの立ち上げ経験,1,案件
Adobe XD,1,案件
金融業界案件の参画経験,1,案件
コミュニケーションが円滑に取れる方,1,案件
長期で対応可能な方,1,案件
面談上位1回,1,案件
移行経験,1,案件
移行計画,1,案件
経理領域,1,案件
現行システム更改案件経験,1,案件
システム構成把握,1,案件
システム間依存関係整理,1,案件
商品分割・システム分割影響範囲整理,1,案件
調査結果・検討課題ドキュメント化,1,案件
積極的な人,1,案件
保全技師技能士レベルの資格,1,案件
ホイストクレーン操作教育,1,案件
玉掛け,1,案件
元気で明るい人柄,1,案件
契約管理システムの知識,1,案件
コール経験,1,案件
デスクワーク経験,1,案件
人物評価が高い,1,案件
BGP,1,案件
大規模サービス開発,1,案件
開発の業務経験,1,案件
VERINT,1,案件
Amazon Connect,1,案件
PKSHA,1,案件
AmiVoice,1,案件
柔軟な対応,1,案件
CrystalReport,1,案件
金融系システムへの知識,1,案件
コミュニケーションに問題がないこと,1,案件
情報システム部門マネジメント経験,1,案件
ゼロトラスト製品の全社展開経験,1,案件
自走できるスタンス,1,案件
変化や不確実性を楽しむ,1,案件
マイクロサービスアーキテクチャ,1,案件
チームでの開発・レビュー,1,案件
長期的な保守性,1,案件
モデル開発,1,案件
実運用,1,案件
技術的な論点整理,1,案件
実現方式の検討,1,案件
保守性,1,案件
モデルのバージョン管理,1,案件
評価結果の管理,1,案件
リリース判断,1,案件
モデル更新,1,案件
切り戻し,1,案件
性能改善,1,案件
コスト最適化,1,案件
ハードウェア量産タスク経験,1,案件
自作PCやハードウェア機器の自作経験,1,案件
電気回路知識,1,案件
CLUSTERPRO,1,案件
SystemManager,1,案件
コンサルティングファーム経験,1,案件
組織立ち上げ,1,案件
プロセス改善,1,案件
NTTデータ、または富士通のプロジェクトへの参画実績,1,案件
金融機関におけるミッションクリティカルなシステム開発での品質管理経験,1,案件
ロジカルなレポート作成,1,案件
プロジェクトマネジメント,1,案件
Microsoft Entra Connect,1,案件
Microsoft Configuration Manager,1,案件
人事給与業務の知識,1,案件
他のパッケージシステムの経験,1,案件
問い合わせ対応経験,1,案件
IPCOM,1,案件
建設業の引合~受注プロセス,1,案件
受注前後の社内承認,1,案件
工事原価管理,1,案件
調達系業務理解,1,案件
IM-LogicDesigner,1,案件
GAS経験,1,案件
大規模拠点展開（マルチサイト、全国展開）の対応経験,1,案件
ドキュメント作成経験,1,案件
勤怠が安定しており、常駐が問題ないこと,1,案件
清潔感があり、身だしなみに気を使える,1,案件
big-ipを保守等で使った経験,1,案件
CO,1,案件
SD,1,案件
MM,1,案件
コミュ力◎,1,案件
アジャイル開発環境,1,案件
面談1回で即決可能,1,案件
若手可能,1,案件
スクラム開発,1,案件
ITコンサル,1,案件
業務改善支援,1,案件
事業企画,1,案件
半導体,1,案件
webアプリ,1,案件
IT事務,1,案件
現場運用,1,案件
生保システム開発,1,案件
生保知識,1,案件
社内NW,1,案件
情シス運用,1,案件
Wi-Fi,1,案件
GAS,1,案件
GWS,1,案件
GAM,1,案件
テナント統合,1,案件
WinForms,1,案件
WinUI,1,案件
金融系システム,1,案件
Cloud Delivery,1,案件
金融系ミドルウェア置き換え,1,案件
バージョンアップ対応,1,案件
Svelte,1,案件
Dify,1,案件
Ollama,1,案件
仙台市在住者対象,1,案件
アダルトに抵抗のない方,1,案件
リスティング,1,案件
ASA,1,案件
アプリ移行経験,1,案件
システムへの知見,1,案件
何らかのit案件の参画経験,1,案件
商用局でのインテグレーション経験,1,案件
1Call（Attach～VoLTE Call～Detach）シーケンス知識,1,案件
VoLTE関連知識,1,案件
体調面に問題のない方,1,案件
一人称で主体的に対応できる方,1,案件
証券取引システム,1,案件
オープン系言語,1,案件
メンバー,1,案件
報・連・相,1,案件
男性限定,1,案件
判断・相談能力,1,案件
明るい性格,1,案件
公共系,1,案件
マニュアル作成支援,1,案件
製造業基幹システム移行,1,案件
Microsoft,1,案件
通信キャリア,1,案件
DDD,1,案件
クリーンアーキテクチャ,1,案件
リードポジション,1,案件
Teamsを中心としたミーティング運営,1,案件
関係者との折衝・合意形成支援,1,案件
進捗,1,案件
課題管理ドキュメント作成・更新,1,案件
プロジェクト全体を俯瞰した課題対応,1,案件
資料作成能力,1,案件
対人対応力,1,案件
要件を取りまとめ,1,案件
Fixさせた経験,1,案件
PoC経験,1,案件
フットワーク軽く動ける方,1,案件
会計知識,1,案件
柔軟に対応できる方,1,案件
CCNA,1,案件
電子決済サービス向けアプリ開発,1,案件
MS-900,1,案件
M365販売支援,1,案件
経験者,1,案件
Terasoluna,1,案件
Spark,1,案件
Aras,1,案件
カスタマイズ,1,案件
移行プロジェクト,1,案件
プレイングマネージャー,1,案件
チームマネジメント,1,案件
Webフロントエンド,1,案件
工事会社や関係者との折衝経験,1,案件
土日祝を含む24時間365日シフト対応,1,案件
LAN,1,案件
光回線工事の知見,1,案件
実装の実務経験,1,案件
HAモニタ経験,1,案件
大規模基盤更改案件経験,1,案件
レビュー,1,案件
オフショア開発管理,1,案件
製造業向け基幹システムの改修,1,案件
中級者向け,1,案件
NW機器複数製品,1,案件
上級者,1,案件
マネジメント経験,1,案件
端末キッティング経験,1,案件
キッティング経験必須,1,案件
RedShift,1,案件
生命保険の業務知識,1,案件
リーダーやサブリーダー経験,1,案件
コミュニケーション面問題ない方,1,案件
待ちの姿勢ではなく能動的に作業が出来る方,1,案件
トランスフォームの実務経験,1,案件
3年以上,1,案件
ssmsのスキルが活かせる案件。常駐可能な方。,1,案件
。現場評価,1,案件
SOX監査,1,案件
データガバナンスの策定経験,1,案件
システムや運用基盤への実装経験,1,案件
応用機能領域の理解,1,案件
メタデータ管理,1,案件
データ品質管理の実装経験,1,案件
Microsoft Purviewを活用したガバナンス実装経験,1,案件
Policy as Code等を活用したガバナンス自動化経験,1,案件
アクセス制御やデータリネージ管理の知見,1,案件
データマネジメント関連プロジェクト参画経験,1,案件
ドキュメント作成だけでなく実装まで主体的に対応できる方,1,案件
ガバナンスとシステムの両面から課題を考えられる方,1,案件
品質や統制を意識しながら改善提案ができる方,1,案件
オントロジー基盤,1,案件
統合ポータル,1,案件
システム実装経験,1,案件
テックリード連携,1,案件
セマンティックレイヤー,1,案件
技術的な課題解決,1,案件
高品質実装,1,案件
主体的開発,1,案件
新技術チャレンジ,1,案件
セマンティック検索の実装経験,1,案件
チームとの連携,1,案件
の項目に対して,1,案件
新しいサービスに対して意欲的に取り組める,1,案件
推進支援,1,案件
ストアド,1,案件
オペレーション,1,案件
6月中旬~@芝公園 週2,1,案件
outsystems,1,案件
~120万!,1,案件
です!,1,案件
Qt Widgets,1,案件
仙台市在住,1,案件
トリリンガル,1,案件
面談設定済み,1,案件
人柄,1,案件
経験10年以上,1,案件
リーダー対応,1,案件
PaaS,1,案件
AKS,1,案件
AppGW,1,案件
LB,1,案件
ER,1,案件
ER-GW,1,案件
PE,1,案件
運用周りは,1,案件
ACR,1,案件
Cアプリ,1,案件
CORBA通信,1,案件
BIG-IP,1,案件
SSL,1,案件
いたします。,1,案件
alteryx,1,案件
に〇×をつけていただけますと幸いです。,1,案件
につきまして,1,案件
に〇×△で回答と,1,案件
横断的な,1,案件
フルスタック対応,1,案件
Outsystems,1,案件
実装支援,1,案件
上流から一気通貫,1,案件
M365のサポート経験,1,案件
情シス経験,1,案件
LAN経験者,1,案件
ロースキル,1,案件
基盤系の運用管理業務,1,案件
業務改善経験,1,案件
比較的単純で機械的な作業が多くなるため、このような業務にでも積極的に取り組める方,1,案件
3年以上の経験者,1,案件
フロント開発,1,案件
積極的に業務へ取り組める方,1,案件
SDK連携,1,案件
Cloud Run,1,案件
Dataflow,1,案件
Datastore,1,案件
男性対象,1,案件
即日開始,1,案件
リーダー枠,1,案件
アプリ移行経験者,1,案件
6月,1,案件
お取引先様各位,1,案件
組込製品の検証経験,1,案件
虎ノ門,1,案件
どの項目にフィットしているか,1,案件
ピボットテーブル,1,案件
ミャンマー,1,案件
企画,1,案件
大森駅,1,案件
VPN,1,案件
検証,1,案件
検証経験,1,案件
PowerApps,1,案件
モデル駆動型アプリ,1,案件
YAMAHA,1,案件
csh,1,案件
向ヶ丘遊園駅,1,案件
Sansan,1,案件
RemoteCall Agent,1,案件
CLOMO MDM,1,案件
CLOMO PANEL,1,案件
館林駅,1,案件
WMS(物流系システム)経験,1,案件
wms経験,1,案件
MDM,1,案件
Web画面開発,1,案件
案件管理補佐経験1年以上,1,案件
組込み開発,1,案件
vi,1,案件
eucツール,1,案件
Web管理ツール操作経験,1,案件
操作経験,1,案件
マネジメント,1,案件
pmo経験あり,1,案件
カメラパラメータ,1,案件
大門,1,案件
浜松町,1,案件
芝公園,1,案件
cad開発,1,案件
サポート実務経験,1,案件
FortiAnalyzer操作,1,案件
経理会計業務知識,1,案件
固定資産管理業務知識,1,案件
報連相,1,案件
勤怠管理,1,案件
オブジェクト指向言語,1,案件
オンプレ環境での実機操作経験,1,案件
IBMホスト,1,案件
CICS,1,案件
bmsマップの知見,1,案件
ibmホスト環境でのオンライン保守,1,案件
バージョンアップ,1,案件
フルスタック,1,案件
