query,url,title,snippet,domain,detail_text,crawl_date
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""インセンティブ""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10313167915,ses営業は給与が一般営業より低いですか？,ses営業は給与が一般営業より低いですか？,detail.chiebukuro.yahoo.co.jp,"5割が黒字なのに廃業。街の店や会社を守る『他人が継ぐ』選択

Yahoo! JAPANヘルプ
キーワード：
 検索
エアマックス95
	
IDでもっと便利に新規取得
ログイン ［おトク］10％OFFクーポンあります
カテゴリ
Q&A一覧
回答ひろば
お知らせ
質問・相談
知恵袋トップ
カテゴリ一覧
職業とキャリア
労働問題、働き方
労働条件、給与、残業
zky********

zky********さん

2025/4/2 17:09

1回答

ses営業は給与が一般営業より低いですか？


労働条件、給与、残業・181閲覧

共感した
知恵コレ
共有
違反報告
ベストアンサー
ころころりんた

ころころりんたさん

カテゴリマスター

2025/4/2 17:44

あくまで一般論として考えるのならses営業の方が低い傾向にあると思います。
営業職での最も大きな利益の源泉であるインセンティブ給の売上高に対する比率が、一般営業でのそれに比して低いことが最大の原因ではないかと思います。

この回答はいかがでしたか？ リアクションしてみよう

なるほど

0

そうだね

1

ありがとう

0

違反報告
あわせて知りたい
人気の質問

社内SEとして学ぶべき言語を教えて下さい。 零細企業の総務でしたが、前任者の退職に伴い現在はSEを兼任しています。 クライアント端末はWin10、ADサーバ等はWinサーバです。 独学で学び、ある程度広く浅く知識が付いてきてなんとかやっているのですが、 グループポリシーの管理やバッチ処理など、もっと効率的にやれたらなあと感じています。 そこで質問なのですが、グループポリシーでスタートアッ...

プログラミング

体重落ちない理由は肝臓。オナラ多い人実は
haju
広告

休職中の人間が正当な理由なく他の所でバイトなど就労したらどうなるのですか？ ・正社員として会社で雇用契約はあります。 ・もう休職中で2か月音沙汰なく会社を休んでいます ・その間、就労していなくとも収入は発生しているのですか？ ・ずっと家に引きこもっているとは思えない

労働条件、給与、残業

人気の質問

くら寿司でバイトをしています。 給与明細を確認したいのですが、味方が分かりません。どなたか教えていただけませんでしょうか？

アルバイト、フリーター

新卒1年目でも、残業って出来ますか？？ 新入社員は早よ帰れとか言われますか？？

労働条件、給与、残業

中小企業の役員として経理と労務を担当しています。 自社の労働時間と割増賃金の扱いについて確認したく質問します。 当社は正社員（事務職）について、1か月単位の変形労働時間制を採用しています。就業規則にはその旨の規定があり、勤務表は前月までに作成して従業員に通知しています。 勤務時間は基本的に月～金で1日8時間勤務、休憩は合計1時間(+15分)です。加えて、月に1回程度、土曜日に8時間勤務があります。月間の総労働時間を計算すると、週平均40時間以内に収まるような設計になっています。 また、休日は就業規則上「日曜日、祝祭日、その他会社カレンダーで定めた日」となっており、実務上は日曜日を法定休日として扱っています。 前任の者がこれまで長年、時間外労働や休日労働に対する割増賃金を明確に支払ってこなかったのですが、新しく入社した従業員から労働基準法上の割増賃金について指摘を受ける可能性があり、不安があります。 そこで質問です。 1.1か月単位の変形労働時間制が適法に運用されている場合、土曜日勤務について時間外割増が不要となるケースはありますか 2.月間総労働時間が週平均40時間以内に収まっていても、割増賃金が発生する具体的なケースはありますか 3.法定休日（日曜日と想定）の扱いと土曜勤務の割増賃金の整理の仕方を教えてください 4.実務上の運用でよくある注意点や、労務リスクを下げる整理方法があれば知りたいです 法律に詳しくないため、基本的な考え方でも構いませんのでご教示いただけると助かります。

労働条件、給与、残業

宿泊が毎日おトク！
Agoda
広告

時間外労働かも？という案件です。 始業時間が9:30の会社に勤めています。 ボランティアという名目で8:20より掃除の時間があります。 所属部署の長からは参加できない場合は、別途どうしてなのか書類を出すようにと言われました。他の拠点は自由参加のようなのですが、こちらは有無を言わせずに参加が強制されています。 それにもかかわらず、ボランティアだからその時間は勤務時間に含まれないと言われました。(そもそも見込み残業の仕事のため、給与を発生させることが難しいのですが…) この場合は法令違反に当てはまるのでしょうか？ 全社員が参加必須ではないため、法令違反とまではいかないのでしょうか？ 拙い文章ですみません。 ご回答頂けますと幸いです。 よろしくお願いします。

労働条件、給与、残業

タイミーの修正依頼について教えて下さい。30分残業してくださいと言われ残業しました。その店舗はいつも5分前には終了してくれるので5分前にチェックアウトでいつも満額いただけてます。 本日も30分残業のところ5分前に終了しました。 チェックアウト時間は本来の時間+25分でうってます。そこから 「変更があった」から時間の登録にいったのですが 終了時刻を報告する画面で 業務+30分の時刻を入力しようとした所 「まだその時間になってません」とのことで 業務+25分を終了時間として 修正依頼を提出しました。この状態でまだ 承認されてません。このまま 待ってれば 残業30分として処理してくれるのでしょうか？ それとも「修正依頼の再提出」をすれば 業務+30分が選択できるのでしょうか？ よろしくお願いします。

派遣、アルバイト、パート

とんでもない珈琲できた！母40kg台に！
りそうのコーヒー
広告

経理、スタッフが有給休暇を取った場合、20日は普通に出勤、他に2日は有給を使用で月合計22日分の日当を支払いましたが、経理的に、出勤分と有給分を別ける必要ありますか。 例えば青色申告、源泉徴収計算、労働保険料等に関係してきますか。

会計、経理、財務

ボーナスのことで質問です。 今回の夏のボーナスは去年の冬より少しアップしたのですが手取り額は去年の冬のボーナスより減りました。 会社は賃金アップしてくれたのに社会保険料やら税金で手取りは減る。 やる気の出ないこの仕組みモヤモヤするのですが同じような方いますか？

労働条件、給与、残業

人気の質問

会計年度任用職員として採用されているものが無期雇用に転換するとき、待遇としてはどの扱いになるのでしょうか？ ・障害者雇用で会計年度任用職員として採用 ・県の施設で事務補助に従事 ・勤務態度を評価され無期雇用？正規雇用？にしないかと打診があった 正職員と同様の待遇にはなりませんよね？ その場合どういった給与形態となるのでしょうか。 住宅手当や退職金、基本給などどうなるのでしょう。 当事者ではないため、先方に聞くことは出来ません。 そういったことがあったということを又聞きしました。

",2026-07-03
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""インセンティブ""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14295253104,2社から内定もらっていて、どちらにしようか悩んでいます。 社会人歴3年目の23歳女です。 前職...,2社から内定もらっていて、どちらにしようか悩んでいます。 社会人歴3年目の23歳女です。 前職...,detail.chiebukuro.yahoo.co.jp,,2026-07-03
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""インセンティブ""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13306374188,助けてください 相談内容は、どうやったらコールセンターの案件から脱出し、開発の業務に携わる時...,助けてください 相談内容は、どうやったらコールセンターの案件から脱出し、開発の業務に携わる時...,detail.chiebukuro.yahoo.co.jp,,2026-07-03
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""インセンティブ""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13294574708,2社から内定もらっていて、どちらにしようか悩んでいます。 社会人歴3年目の23歳女です。 前職...,2社から内定もらっていて、どちらにしようか悩んでいます。 社会人歴3年目の23歳女です。 前職...,detail.chiebukuro.yahoo.co.jp,,2026-07-03
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""インセンティブ""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13295681368,IT系への転職についての質問です。 現在、私は美容師５年目で、今の職場の環境は、労働時間11...,IT系への転職についての質問です。 現在、私は美容師５年目で、今の職場の環境は、労働時間11...,detail.chiebukuro.yahoo.co.jp,,2026-07-03
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""インセンティブ""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10294568295,2社から内定もらっていて、どちらにしようか悩んでいます。 社会人歴3年目の23歳女です。 前職...,2社から内定もらっていて、どちらにしようか悩んでいます。 社会人歴3年目の23歳女です。 前職...,detail.chiebukuro.yahoo.co.jp,,2026-07-03
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""インセンティブ""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11301607681,今、日本で需要が高まっていながら、人が来ないので、わりと採用されやすい仕事は、介護、運送、飲食...,今、日本で需要が高まっていながら、人が来ないので、わりと採用されやすい仕事は、介護、運送、飲食...,detail.chiebukuro.yahoo.co.jp,,2026-07-03
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""インセンティブ""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10235846020,無期雇用型派遣社員のOJT負担について 私は新卒で中小SES企業に7年勤めた後、転職し、現在も...,無期雇用型派遣社員のOJT負担について 私は新卒で中小SES企業に7年勤めた後、転職し、現在も...,detail.chiebukuro.yahoo.co.jp,"「LINEヤフー基金」へ名称変更。20周年特設ページ公開中

Yahoo! JAPANヘルプ
キーワード：
 検索
中大兄皇子
	
IDでもっと便利に新規取得
ログイン ボーナスセレクション　人気商品が最大40％
カテゴリ
Q&A一覧
回答ひろば
お知らせ
質問・相談
知恵袋トップ
カテゴリ一覧
ビジネス、経済とお金
企業と経営
企業法務、知的財産

回答受付が終了しました

slp********

slp********さん

2020/12/15 10:37

3回答

無期雇用型派遣社員のOJT負担について
私は新卒で中小SES企業に7年勤めた後、転職し、現在もプログラマーとして、無期雇用型派遣社員(派遣元の正社員が派遣先の指示で仕事をする形態)をしています。
派遣元への勤続は4年目で、30代半ばです。

ここ1-2年で改正派遣法の影響あってか、派遣元の会社が「未経験社員のキャリアアッププランが必要。社員の成長支援に力を入れていく。」と全社的に謳うようになりました。
そして私の所にも自社より「〇〇さん(私)の就業先に新卒を入れたい。〇〇さんがOJTをする前提で就業先に営業をかけるので、入れたら現場で面倒を見る事。断る場合は会社の方針に非協力的、あるいは後続育成スキル不足とみなし、査定に響きかねない。」という趣旨の話がありました。
(新卒も私と同じく弊社の無期雇用型派遣です。よって新卒は私の後輩にあたります。)

ここで疑問に思い、お詳しい方に教えて頂きたいのですが、
就業先での勤務時間中の新人のマネジメント(新人教育や、新卒が書く納品物のレビュー、稼働時間チェックや進捗管理、気持ちのケアも？)は、法律的に私の業務に入るのでしょうか？

少なくとも現在就業先と交わしている就業条件明示書では、「現場での自社社員教育、進捗管理」などは私の業務に明示されていませんでした。
ただ私は派遣元の社員でもあるので、「自社の新人の面倒見るのは業務」と言われればそうなのかと言う気もします。

実は正直な気持ちを申しますと、乗り気ではないです…

・就業先にはマニュアルやノウハウ集約ツール等も無く、新卒はプログラミングも1年目で、どの位書けるのか不明、負担が増えそうだがインセンティブ的な面は満たされなさそう
(派遣先からすると、育つかどうかも分からない新人を入れるメリットは無く、私が派遣元の新人教育をした所で、私の単価up(引いては査定後の給与up)に繋がらない)
・前職で少しプロジェクト管理や教育もやって、上と下の間に挟まれて嫌な思いをし転職した経緯がある

とは言え、誰も面倒見なかった新人が成長してマナーが変だったり、変なコード書いたりするようになっても残念なので、もし「法律的に現場での新人教育も業務」との事でしたら、観念して新人は大事に育てさせて頂きたいと思っています…
案外すぐ即戦力となるかもしれませんし…

よろしくお願いいたします。

企業法務、知的財産 | 派遣・209閲覧

共感した
知恵コレ
共有
違反報告
回答（3件）
並び順を変更する
新しい順
古い順
なるほど順
nee********

nee********さん

2020/12/16 17:55

簡潔に言うと最低のブラック企業です。転職が良い。
マトモに考えるだけ時間無駄ですよ。

新入社員の教育を1社員に丸投げしている時点で終わってますね。

もし質問者様にASCIIコードさえ知らない素人が二名配属されたらどうしますか？
派遣先の業務をこなしながら素人の教育は不可能です。
教育費用は専門学校では月10万くらいは掛かるののではないですか？
専門学校は過去作った教材のストック、引き回しでコストダウンします。
派遣先の業務をこなして人月単価を稼ぎながら新人の教育コストを自腹は普通に論外ですよ。

やるなら、本社の研修教材作成部門に異動して新人のために教科書を会社の費用で作るなら判りますがね。
本社が出来ない教育を派遣社員に押し付ける時点で見込みはないです。

この回答はいかがでしたか？ リアクションしてみよう

なるほど

0

そうだね

0

ありがとう

0

違反報告
Kaffe

Kaffeさん

2020/12/16 7:43

うーん、かなり微妙な問題と思います。というのもあなたの勤務時間は派遣先に「売っている」わけですから、その時間を使って自社の社員のOJTをやるというのは、派遣先にとっては何のメリットもない、迷惑なだけの話です。

そもそも派遣やSESというのは「完成した人材を利用する・してもらう」という建前のシステムです。その人材の研修や教育は、別枠の時間と場所とコストで、派遣会社が自腹を切って行うのが筋です。

あなたの承服しかね度合いにもよりますが、弁護士に相談されても良いかもしれません。

なるほど

0

そうだね

0

ありがとう

0

違反報告
bot********

bot********さん

2020/12/15 22:01

派遣元とあなたの間の問題なので派遣先との派遣契約には関係ない
派遣元の出している就業規定や規約に何も書いてなければあなたに義務はない

ただまあ断ると脅し文句の通りになると思うので
どっちみちリスクはありますかね

なるほど

0

そうだね

0

ありがとう

0

違反報告
あわせて知りたい
人気の質問

初めて派遣社員をやっているのですが、これって普通ですか？(>_<) 入社して3週間経ちます。OJT期間中で、やった仕事は社員にチェックしてもらっています。 初めての業界ということもあり、専門用語など意味不明な状態で入りました。 しかし、OJT担当の社員に質問すると「それ前も言ったけど」と言われたり、ミスを一回してしまった時には「2週間前から分かってないよね？」と大声で言われたり...

派遣

宿泊が毎日おトク！
Agoda
広告
人気の質問

仕事に行きたくなくて悩んでいます。 派遣社員として今の派遣先に入社して約1ヶ月が経ちました。 前職と違い事務に挑戦してみようと思い、現在事務員として働いています。 しかし覚えることが多く、見直しをしてもケアレスミスをしてしまいます。 電話対応でも、電話口で聞かれたことがわからなければ「確認致します、少々お待ちください」と保留にし、教育係の方に確認すると「こっちで対応するからいいわ」と冷...

派遣

97年に京樽が会社更生法の適用を申請していたそうですが、このときはなんで民事再生法じゃなかったんでしょうか？

法律相談

法的倒産手続きのうち、原則として担保権は倒産手続きによらなければ行使できないのは会社更生手続きのみである。 →◯ 会社更生手続きでは別除権は認められていないため、更生担保権は更生手続きの中で処理されます。 という問題と解説を見たんですが、これの意味がほとんど分かりませんでした。 担保権が倒産手続きでできるということは、その前の何という段階では、担保権が行使できないんでしょうか？ ここでいう倒産手続きと更生手続きは、同じ意味なんでしょうか？

法律相談

随伴性は、主債務が債権譲渡等によって",2026-07-03
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""インセンティブ""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10314136165,Fラン理系の就職先って施工管理が多くないですか？ 特に工学部です。 優秀な人は大手のメーカーと...,Fラン理系の就職先って施工管理が多くないですか？ 特に工学部です。 優秀な人は大手のメーカーと...,detail.chiebukuro.yahoo.co.jp,,2026-07-03
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""インセンティブ""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13308492093,大学3年生の就職活動について質問です。 来年4月から4年生になる娘が居ます。私の時代と違い、...,大学3年生の就職活動について質問です。 来年4月から4年生になる娘が居ます。私の時代と違い、...,detail.chiebukuro.yahoo.co.jp,,2026-07-03
"site:detail.chiebukuro.yahoo.co.jp ""SES営業"" ""粗利""",https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12151843337,年度末に向けて給与アップの依頼を考えております。 現在の600万円から800万円への年俸アップ...,年度末に向けて給与アップの依頼を考えております。 現在の600万円から800万円への年俸アップ...,detail.chiebukuro.yahoo.co.jp,,2026-07-03
