query,url,title,snippet,domain,incentive_text,incentive_rate_pct,detail_text,crawl_date
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13253690,【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%,【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%,crowdworks.jp,クラウドソーシングTOP仕事を探すビジネス・マーケティング・企画の仕事・求人営業・広告・PRの仕事・求人セールス・営業支援の仕事・求人【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10% 【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10% セールス・営業支援の仕事の依頼 固定報酬制 自社SES事業における法人新規開拓営業を、業務委託（完全成果報酬）でお願いできる方を募集します。 成約したエンジニアが稼働している間は、継続的に粗利の10%をお支払いするストック型の報酬設計です。 ■ 報酬（完全成果報酬・継続支払型） 成約したエンジニアが稼働している期間中、毎月「粗利の10%」を継続的にお支払い 複数名の成約・長期継続案件ほど、月々の報酬が積み上がっていく設計 ＜報酬イメージ＞ 例1：粗利30万円／月のエンジニアを1名成約 → 毎月3万円 × 稼働継続月数 例2：粗利40万円 × 3名成約 → 毎月12万円の継続報酬 例3：1年間継続稼働した場合 → 1名あたり年間 粗利30万円×10%×12ヶ月＝36万円 ※ 着手金・固定報酬はありません。成果が出た分だけ、長く積み上がっていく報酬設計です。 ■ 報酬計算・支払いに関する補足 「粗利」＝クライアント請求額 − エンジニア原価（給与／外注費・直接経費）として算定します※インボイス制度を利用しているエンジニアはインボイスに関する金額を引いた額 エンジニアの契約が終了・交代した時点で、該当分の継続報酬も終了となります,10.0,"クラウドソーシング・仕事依頼・求人情報は日本最大級のクラウドワークス
仕事を探す
クラウドワーカーを探す
ログイン
会員登録（無料)
クラウドソーシングTOP仕事を探すビジネス・マーケティング・企画の仕事・求人営業・広告・PRの仕事・求人セールス・営業支援の仕事・求人【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%
【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10% セールス・営業支援の仕事の依頼
arcam_corp
 (0件のレビュー) 本人確認未提出 発注ルールチェック未回答
仕事の概要
固定報酬制
	
ワーカーと相談する


納品希望日
	-

掲載日
	2026年06月22日

応募期限
	2026年07月05日

必要なスキル
	
法人営業・ソリューションセールス
応募状況
応募した人 1 人契約した人 0 人募集人数 3 人気になる！リスト 2 人
この仕事に応募したクラウドワーカーを見る 
仕事の詳細
■ 募集概要
自社SES事業における法人新規開拓営業を、業務委託（完全成果報酬）でお願いできる方を募集します。
フルリモート・フルフレックスのため、本業や他案件の合間のスキマ時間で稼働いただけます。
成約したエンジニアが稼働している間は、継続的に粗利の10%をお支払いするストック型の報酬設計です。

■ 業務内容
エンドユーザー企業への新規開拓営業 ※リファラルでの開拓可
ターゲットリスト作成、アプローチ（メール・架電・SNS等、手段はお任せ）
商談設定・商談実施（オンライン中心）※初回商談は事業部長が同席
案件ヒアリング、自社エンジニアのスキルシート提案・マッチング支援
成約までのクロージング対応
※ 稼働時間は、自由です。

■ 報酬（完全成果報酬・継続支払型）
成約したエンジニアが稼働している期間中、毎月「粗利の10%」を継続的にお支払い
契約が継続している限り、月次でレベニューシェア方式で支払い継続
複数名の成約・長期継続案件ほど、月々の報酬が積み上がっていく設計
＜報酬イメージ＞
例1：粗利30万円／月のエンジニアを1名成約 → 毎月3万円 × 稼働継続月数
例2：粗利40万円 × 3名成約 → 毎月12万円の継続報酬
例3：1年間継続稼働した場合 → 1名あたり年間 粗利30万円×10%×12ヶ月＝36万円
※ 着手金・固定報酬はありません。成果が出た分だけ、長く積み上がっていく報酬設計です。

■ 稼働条件
稼働形態：フルリモート／フルフレックス
稼働時間：自由（スキマ時間OK、平日夜・土日のみも可）
契約形態：業務委託（クラウドワークス上で契約）
エリア：全国どこからでもOK

■ 歓迎スキル・経験
SES営業／IT人材営業／派遣営業の経験
法人新規開拓営業の経験
SIer・事業会社の情シス／開発部門との人脈
IT業界（Web系・インフラ・業務系など）への理解
※ 未経験でも、強い新規開拓営業の経験や独自チャネルをお持ちの方はご相談ください。

■ 報酬計算・支払いに関する補足
「粗利」＝クライアント請求額 − エンジニア原価（給与／外注費・直接経費）として算定します※インボイス制度を利用しているエンジニアはインボイスに関する金額を引いた額
支払いは月次で、クラウドワークス上の業務委託契約を通じて実施します
エンジニアの契約が終了・交代した時点で、該当分の継続報酬も終了となります

■ 応募方法
まずはクラウドワークスより、ご応募ください。
・簡単なご経歴（SES／IT営業経験の有無・年数）
・現在お持ちの顧客チャネルやアプローチ手段のイメージ
・想定の稼働可能時間／週あたり目安
内容を確認のうえ、オンライン面談（30分〜1時間程度）をご案内します。
クライアント情報
arcam_corp
ありがとう 0 件
本人確認未提出
発注ルールチェック未回答
総合評価
-
募集実績
3 件
プロジェクト完了率
-
arcam_corpの詳細を見る
 
最近応募したクラウドワーカー
クラウドワーカー	応募日時
 株式会社タクスル	2026/06/22 10:56

会員登録してさっそく仕事に応募しよう！

会員登録（無料）

SNSアカウントで利用（無料）

Yahoo!ID
Google
ビジネス・マーケティング・企画の他の求人・仕事を探す
すべての仕事カテゴリ
ビジネス・マーケティング・企画
営業・広告・PR
セールス・営業支援
広告・宣伝
PR・パブリシティ

会員登録（無料）

※クラウドソーシングを専門に取り扱っている企業（上場企業）において、流通額がNo.1（会社発表IR資料比較）

アプリで、もっと快適に
仕事を受注・発注しよう

ページ上部へ戻る
メインメニュー
トップページ
ログイン
仕事を探す
イチ押し特集
ワーカー・クライアント特集一覧
クラウドワーカーを探す
みんなのお仕事相談所
クラウドワークス ランキング
サポート
初めての方へ
ご利用ガイド
仕事依頼ガイドライン
AIポリシー
よくある質問
お知らせブログ
アプリのご案内
クライアントの皆さまへ
クラウドワークス エージェント
クラウドリンクス
クラウドソーシングTimes
発注相場一覧
クライアント会員特典
クラウドログ
生産性向上コンサルティング
クラウドワーカーの皆さまへ
クラウドワークス安心安全宣言
パラレルジャーナル
クラウドワーカー会員特典
クラウドワークス テック
クラウドワークス アカデミー
プレス
ニュース
リンク・バナー掲載用の素材
公式Facebookページ
公式Twitter
行政との取り組み
会社情報
会社概要
採用情報
利用規約
特定商取引法に基づく表記

copyright (c)CrowdWorks Inc. all rights reserved.

運営会社：株式会社クラウドワークス

個人情報保護方針",2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/12440595,新規事業★ＳＥＳ営業募集★,新規事業★ＳＥＳ営業募集★,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/12820377,【月10万＋粗利30%継続還元】フルリモートSES営業／マッチング特化型で高収益！ストック収入を構築したいプロ募集,【月10万＋粗利30%継続還元】フルリモートSES営業／マッチング特化型で高収益！ストック収入を構築したいプロ募集,crowdworks.jp,【月10万＋粗利30%継続還元】フルリモートSES営業／マッチング特化型で高収益！ストック収入を構築したいプロ募集 【月10万＋粗利30%継続還元】フルリモートSES営業／マッチング特化型で高収益！ストック収入を構築したいプロ募集,30.0,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13073981,SES営業代行支援,SES営業代行支援,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/12774212,SES営業代行支援,SES営業代行支援,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/12804243,SES営業経験者募集！,SES営業経験者募集！,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/12866789,SES営業経験者募集！！【フルリモ】,SES営業経験者募集！！【フルリモ】,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/12801709,【月額10万＋継続インセンティブ有】SES営業経験者募集！マッチングから面談設定まで／フルリモート・自由度の高い環境,【月額10万＋継続インセンティブ有】SES営業経験者募集！マッチングから面談設定まで／フルリモート・自由度の高い環境,crowdworks.jp,【月額10万＋継続インセンティブ有】SES営業経験者募集！マッチングから面談設定まで／フルリモート・自由度の高い環境 【月額10万＋継続インセンティブ有】SES営業経験者募集！マッチングから面談設定まで／フルリモート・自由度の高い環境,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/12845494,【月額10万＋継続インセンティブ有】SES営業経験者募集！マッチングから面談設定まで／フルリモート・自由度の高い環境,【月額10万＋継続インセンティブ有】SES営業経験者募集！マッチングから面談設定まで／フルリモート・自由度の高い環境,crowdworks.jp,【月額10万＋継続インセンティブ有】SES営業経験者募集！マッチングから面談設定まで／フルリモート・自由度の高い環境 【月額10万＋継続インセンティブ有】SES営業経験者募集！マッチングから面談設定まで／フルリモート・自由度の高い環境,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/12906792,SES営業経験者募集！！【フルリモート】,SES営業経験者募集！！【フルリモート】,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13085450,【未経験OK／大学生歓迎】IT営業事務｜時給＋インセンあり｜スキマ時間OK,【未経験OK／大学生歓迎】IT営業事務｜時給＋インセンあり｜スキマ時間OK,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13077534,【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%,【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%,crowdworks.jp,【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10% 【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%,10.0,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13184565,【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%,【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%,crowdworks.jp,【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10% 【ストック型インセン／フルリモート】SES新規開拓営業｜決めたエンジニアの稼働中は継続で粗利10%,10.0,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13074025,【ストック型報酬】SES営業募集,【ストック型報酬】SES営業募集,crowdworks.jp,【ストック型報酬】SES営業募集 【ストック型報酬】SES営業募集,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13161634,フルリモート＆インセンティブあり【SES営業支援】,フルリモート＆インセンティブあり【SES営業支援】,crowdworks.jp,フルリモート＆インセンティブあり【SES営業支援】 フルリモート＆インセンティブあり【SES営業支援】,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13178756,SES営業募集｜BP開拓・案件獲得をお任せできる方歓迎,SES営業募集｜BP開拓・案件獲得をお任せできる方歓迎,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13210209,SES営業募集｜BP開拓・案件獲得をお任せできる方歓迎,SES営業募集｜BP開拓・案件獲得をお任せできる方歓迎,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13158625,SES会社勤務の方急募！【フルリモート／固定給＋成果報酬／経験者限定】SES領域人材マッチング業務,SES会社勤務の方急募！【フルリモート／固定給＋成果報酬／経験者限定】SES領域人材マッチング業務,crowdworks.jp,SES会社勤務の方急募！【フルリモート／固定給＋成果報酬／経験者限定】SES領域人材マッチング業務 SES会社勤務の方急募！【フルリモート／固定給＋成果報酬／経験者限定】SES領域人材マッチング業務,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/13079808,【フルリモート／固定給＋成果報酬／経験者限定】SES領域人材マッチング業務,【フルリモート／固定給＋成果報酬／経験者限定】SES領域人材マッチング業務,crowdworks.jp,【フルリモート／固定給＋成果報酬／経験者限定】SES領域人材マッチング業務 【フルリモート／固定給＋成果報酬／経験者限定】SES領域人材マッチング業務,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/12334181,【フルリモート／稼働自由】SES領域人材マッチング業務,【フルリモート／稼働自由】SES領域人材マッチング業務,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES営業"" ""粗利""",https://crowdworks.jp/public/jobs/12167299,【フルリモート/稼働時間自由/営業不要/ストック報酬】SESのマッチング作業のご依頼,【フルリモート/稼働時間自由/営業不要/ストック報酬】SESのマッチング作業のご依頼,crowdworks.jp,【フルリモート/稼働時間自由/営業不要/ストック報酬】SESのマッチング作業のご依頼 【フルリモート/稼働時間自由/営業不要/ストック報酬】SESのマッチング作業のご依頼,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5233378,初回 【フルリモート/勤務時間自由/営業不要】SESのマッチング作業のご依頼,初回 【フルリモート/勤務時間自由/営業不要】SESのマッチング作業のご依頼,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5545596,【急募】SES事業立ち上げに向けた戦略支援の依頼,【急募】SES事業立ち上げに向けた戦略支援の依頼,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5316707,【フルリモート/勤務時間自由/営業不要】SESのマッチング作業のご依頼,【フルリモート/勤務時間自由/営業不要】SESのマッチング作業のご依頼,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5323615,【フルリモート/稼働時間自由/営業不要】SESのマッチング作業のご依頼,【フルリモート/稼働時間自由/営業不要】SESのマッチング作業のご依頼,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5309390,【副業歓迎】 SES営業 経験者向けITエンジニア案件マッチング募集　※副業可・在宅可・隙間時間可,【副業歓迎】 SES営業 経験者向けITエンジニア案件マッチング募集　※副業可・在宅可・隙間時間可,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5282700,【フルリモート/勤務時間自由/営業不要】SESのマッチング作業のご依頼,【フルリモート/勤務時間自由/営業不要】SESのマッチング作業のご依頼,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567649,【看護師ライター募集】実務未経験・初心者歓迎！看護・医療系のWEB記事執筆,【看護師ライター募集】実務未経験・初心者歓迎！看護・医療系のWEB記事執筆,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567648,【50円＊3分で完了】東京でヒゲ脱毛を受けたことがある人へのアンケート（6933）,【50円＊3分で完了】東京でヒゲ脱毛を受けたことがある人へのアンケート（6933）,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567651,【実績公開OK】登録者3.5万人YouTubeチャンネル／長尺動画の編集・フルテロップ作成,【実績公開OK】登録者3.5万人YouTubeチャンネル／長尺動画の編集・フルテロップ作成,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567634,本気で副業として稼ぎたい方を大歓迎！YouTubeチャンネル８万人超で経験値UPが確実の編集のお仕事,本気で副業として稼ぎたい方を大歓迎！YouTubeチャンネル８万人超で経験値UPが確実の編集のお仕事,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567625,"【打ち合わせで 3,500円/時】現役保険代理店の支社長限定！「顧客保全」に関するディスカッション","【打ち合わせで 3,500円/時】現役保険代理店の支社長限定！「顧客保全」に関するディスカッション",lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567613,【スマートフォン業務】【たったの3分！】誰でも簡単♪検索結果の調査のお仕事gjs14-7-3,【スマートフォン業務】【たったの3分！】誰でも簡単♪検索結果の調査のお仕事gjs14-7-3,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567598,【急募】IoT機器設置保守サポート資料協力・窓口対応者募集,【急募】IoT機器設置保守サポート資料協力・窓口対応者募集,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5562343,ショート動画編集のお仕事依頼,ショート動画編集のお仕事依頼,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5557556,【1本１０００円】スマホ撮影するだけのカンタンなお仕事！,【1本１０００円】スマホ撮影するだけのカンタンなお仕事！,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5565586,【無料スマホゲームのプレイモニター】7/20まで継続プレイ・フォーム入力・スクリーンショット提出,【無料スマホゲームのプレイモニター】7/20まで継続プレイ・フォーム入力・スクリーンショット提出,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567717,急募【SDで使う魅力的なプロンプト制作】同人CG集作成に使う画像生成するプロンプト作成を依頼します,急募【SDで使う魅力的なプロンプト制作】同人CG集作成に使う画像生成するプロンプト作成を依頼します,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567716,【急募】PDF発注データをエクセルに自動取り込むシステム開発,【急募】PDF発注データをエクセルに自動取り込むシステム開発,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567690,【5千文字 1万5千円】構成案作成＋ネットで調べてライティング　※案件多数・継続案件,【5千文字 1万5千円】構成案作成＋ネットで調べてライティング　※案件多数・継続案件,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567692,"【60分5,000円】成人向け夜尿症ケア用品の開発に向けたオンラインインタビュー（20〜30代限定）","【60分5,000円】成人向け夜尿症ケア用品の開発に向けたオンラインインタビュー（20〜30代限定）",lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5566839,【【完全在宅】】BUYMA（バイマ）の出品作業をお手伝いしてくださる方大募集！！,【【完全在宅】】BUYMA（バイマ）の出品作業をお手伝いしてくださる方大募集！！,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5566840,☆☆完全在宅☆☆BUYMA（バイマ）の出品作業をお手伝いしてくださる方大募集！！,☆☆完全在宅☆☆BUYMA（バイマ）の出品作業をお手伝いしてくださる方大募集！！,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567422,【隙間時間でお小遣い稼ぎ】バイマの出品作業をお手伝いしてくださる方大募集！！,【隙間時間でお小遣い稼ぎ】バイマの出品作業をお手伝いしてくださる方大募集！！,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5563904,【謝礼あり】外国籍IT人材の採用・育成経験者募集（60分オンラインインタビュー／経済産業省採択事業）,【謝礼あり】外国籍IT人材の採用・育成経験者募集（60分オンラインインタビュー／経済産業省採択事業）,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5547470,【マニュアルあり】動画のカット編集サポート募集（初心者OK）,【マニュアルあり】動画のカット編集サポート募集（初心者OK）,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5404326,【急募】簡単な動画編集・長尺動画カットのフリーランス募集,【急募】簡単な動画編集・長尺動画カットのフリーランス募集,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5559086,【女性限定／完全在宅】eBayリサーチ作業スタッフ募集♪ 未経験・主婦歓迎◎,【女性限定／完全在宅】eBayリサーチ作業スタッフ募集♪ 未経験・主婦歓迎◎,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567674,【男性限定】DMMオンラインクリニックでAGA治療を受けたことがある方、感想など教えてください！,【男性限定】DMMオンラインクリニックでAGA治療を受けたことがある方、感想など教えてください！,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567658,【初心者歓迎】300文字程度の簡単な文章作成｜タスク案件,【初心者歓迎】300文字程度の簡単な文章作成｜タスク案件,lancers.jp,,,,2026-07-03
"site:lancers.jp ""SES営業"" ""粗利""",https://www.lancers.jp/work/detail/5567661,【継続依頼あり】台本に基づく画像生成・選定・修正作業,【継続依頼あり】台本に基づく画像生成・選定・修正作業,lancers.jp,,,,2026-07-03
"site:crowdworks.jp ""SES"" ""営業"" ""インセンティブ""",https://crowdworks.jp/public/jobs/12374753,SES営業募集！,SES営業募集！,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES"" ""営業"" ""インセンティブ""",https://crowdworks.jp/public/jobs/13173396,【1成約20万＋α】IT業界向け次世代PMO研修の営業パートナー募集！SES業界の知見を活かせる高単価案件,【1成約20万＋α】IT業界向け次世代PMO研修の営業パートナー募集！SES業界の知見を活かせる高単価案件,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES"" ""営業"" ""インセンティブ""",https://crowdworks.jp/public/jobs/12166531,在宅勤務／AIを用いたスマート工場化に関わる法人営業で新規開拓,在宅勤務／AIを用いたスマート工場化に関わる法人営業で新規開拓,crowdworks.jp,,,,2026-07-03
"site:crowdworks.jp ""SES"" ""営業"" ""インセンティブ""",https://crowdworks.jp/public/jobs/12387558,【長期パートナー募集】システム開発営業／時給スタート→固定＋成果報酬／DX・AI・人材紹介まで広がる成長環境！,【長期パートナー募集】システム開発営業／時給スタート→固定＋成果報酬／DX・AI・人材紹介まで広がる成長環境！,crowdworks.jp,【長期パートナー募集】システム開発営業／時給スタート→固定＋成果報酬／DX・AI・人材紹介まで広がる成長環境！ 【長期パートナー募集】システム開発営業／時給スタート→固定＋成果報酬／DX・AI・人材紹介まで広がる成長環境！,,,2026-07-03
"site:crowdworks.jp ""SES"" ""営業"" ""インセンティブ""",https://crowdworks.jp/public/jobs/12836452,【固定報酬1万円＋成果インセンティブ25万円】副業/フリーランス20名募集,【固定報酬1万円＋成果インセンティブ25万円】副業/フリーランス20名募集,crowdworks.jp,【固定報酬1万円＋成果インセンティブ25万円】副業/フリーランス20名募集 【固定報酬1万円＋成果インセンティブ25万円】副業/フリーランス20名募集,,,2026-07-03
